legacy_dataset,legacy_position,question,alternatives_json,answer_index,explanation,legal_status,source_sha256
pvQs,1,Qual é a diferença entre obrigação principal e obrigação acessória no direito previdenciário?,"[""Principal = declarações; acessória = pagamento"", ""Principal sempre envolve pagamento em dinheiro; acessória é dever instrumental (declarações, registros)"", ""São sinônimos no contexto previdenciário"", ""Principal é para pessoas físicas; acessória é para pessoas jurídicas""]",1,"Obrigação principal = sempre pagamento (art. 121 CTN). Obrigação acessória = deveres instrumentais como declarações, registros e documentos ao INSS. Se descumprir a acessória, a multa vira obrigação principal.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,2,Quem é o responsável tributário na relação de emprego com carteira assinada?,"[""O empregado, pois recebe o salário"", ""O empregador, que por lei deve descontar e repassar ao INSS"", ""A Receita Federal, que gerencia os repasses"", ""O sindicato da categoria""]",1,"O empregado é o contribuinte (salário = fato gerador), mas o empregador é o responsável tributário — a lei o obriga a descontar a contribuição e repassar ao INSS.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,3,"Se a empresa desconta o INSS do empregado e não repassa ao INSS, comete:","[""Infração administrativa punida pela Receita"", ""Crime de sonegação fiscal, julgado pela Justiça Estadual"", ""Crime de apropriação indébita previdenciária (art. 168-A CP), apurado pela PF e julgado pela Justiça Federal"", ""Irregularidade civil sem consequência penal""]",2,Art. 168-A do Código Penal: apropriar-se de contribuição descontada do empregado e não repassar ao INSS é crime. Apurado pela Polícia Federal e julgado pela Justiça Federal.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,4,Quem financia a Seguridade Social segundo o art. 195 da CF?,"[""Apenas trabalhadores e empresas"", ""Trabalhadores, empresas, importadores e participantes de concursos de prognóstico (loterias)"", ""Apenas o Estado via impostos gerais"", ""Somente contribuintes do RGPS""]",1,"Art. 195 CF: empregadores/empresas (folha, faturamento, lucro), trabalhadores/segurados, participantes de concursos de prognóstico (loterias) e importadores de bens/serviços do exterior.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,5,"Um apostador de loteria, ao apostar, passa a ser segurado da Previdência?","[""Sim, pois contribui indiretamente para o sistema"", ""Não — parte do valor aposto financia a seguridade, mas o apostador não vira segurado"", ""Sim, após 5 anos de apostas regulares"", ""Não, pois loteria não financia a seguridade""]",1,"O apostador contribui indiretamente via loterias (parte da arrecadação vai à seguridade), mas não se torna segurado por isso. Segue o princípio de que toda a sociedade sustenta a proteção social.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,6,Um aposentado do RGPS retorna ao trabalho. O que ocorre com suas contribuições?,"[""Não precisa contribuir mais, pois já está aposentado"", ""Contribui sobre o novo salário, e essas contribuições podem gerar nova aposentadoria"", ""Contribui sobre o novo salário, mas as contribuições NÃO geram nova aposentadoria"", ""Só contribui se o novo salário superar o teto do RGPS""]",2,"O aposentado que retorna ao trabalho é segurado obrigatório e paga INSS sobre o novo salário, MAS o STF afastou a desaposentação — essas contribuições não geram nova aposentadoria no RGPS.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,7,"Qual é a idade mínima para filiação obrigatória ao RGPS, e qual a exceção?","[""18 anos em geral; 16 para aprendiz"", ""16 anos em geral; 14 anos para aprendiz com contrato educacional"", ""14 anos em geral; sem exceções"", ""18 anos sem exceções""]",1,"Regra: 16 anos. Exceção: aprendiz a partir dos 14 anos, desde que haja contrato de aprendizagem com finalidade educacional e prazo determinado.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,8,O que é a pejotização e qual sua consequência previdenciária?,"[""Contratação legítima de MEI para prestação de serviços"", ""Fraude: mascarar relação de emprego via PJ — pode gerar reconhecimento do vínculo e contribuições retroativas"", ""Registro incorreto de empregado como contribuinte individual — sem consequência"", ""Modalidade de contrato temporário permitida pela CLT""]",1,Pejotização = criar PJ fictícia para encobrir relação de emprego com subordinação. É fraude e pode gerar reconhecimento do vínculo empregatício e cobrança de contribuições retroativas ao INSS.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,9,Qual a diferença entre o segurado especial e o contribuinte individual no âmbito rural?,"[""São a mesma categoria"", ""Especial = economia familiar, sem empregados permanentes, subsistência; individual = autônomo rural com estrutura empresarial"", ""Especial tem mais contribuições; individual tem menos"", ""Não existe distinção no RGPS""]",1,"Segurado especial: trabalho rural em regime de economia familiar, sem empregados permanentes, voltado à subsistência. Contribuinte individual: trabalha por conta própria sem esse enquadramento familiar.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,10,"Para o segurado facultativo, quando ocorre a filiação ao RGPS?","[""Com o simples cadastro no INSS"", ""Com o pagamento da primeira contribuição"", ""Com a apresentação de documentos na agência do INSS"", ""Com a formalização de contrato com o INSS""]",1,"O segurado facultativo precisa de manifestação de vontade, que se concretiza com o pagamento da primeira contribuição. Só a partir desse pagamento ele é considerado segurado — o cadastro isolado não basta.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,11,O trabalhador em condição análoga à escravidão é segurado obrigatório do RGPS?,"[""Não, pois a situação é ilegal"", ""Sim — o DPrevidenciário protege o trabalho de fato, independente da legalidade do vínculo"", ""Só se o empregador regularizar a situação"", ""Apenas se houver habeas corpus deferido""]",1,"O direito previdenciário não depende da legalidade do vínculo de trabalho, mas da existência do trabalho de fato. Mesmo em situação ilegal imposta pelo empregador, o trabalhador é segurado obrigatório do RGPS.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,12,Qual é o período de graça padrão para o segurado obrigatório que para de contribuir?,"[""6 meses"", ""12 meses"", ""18 meses"", ""24 meses""]",1,O período de graça padrão é de 12 meses para segurados obrigatórios. Pode aumentar para 24 meses (se tiver mais de 120 contribuições) ou 36 meses (se houver desemprego involuntário comprovado).,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,13,"Para o segurado facultativo, qual é o período de graça?","[""12 meses"", ""6 meses"", ""24 meses"", ""Não existe período de graça para facultativos""]",1,"O segurado facultativo tem período de graça de apenas 6 meses, pois sua participação no sistema é voluntária — período menor que o do obrigatório (12 meses).",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,14,Contribuições abaixo do salário mínimo (após nov/2019) contam para carência?,"[""Sim, sempre contam proporcionalmente"", ""Não contam; podem ser complementadas (pagar diferença) ou agrupadas (juntar até atingir o mínimo)"", ""Contam apenas para segurado facultativo"", ""Contam apenas se houver autorização do INSS""]",1,"Após novembro de 2019, contribuições abaixo do mínimo não contam para carência. Para contar: complementação (pagar a diferença) ou agrupamento (somar contribuições menores até alcançar o salário mínimo exigido).",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,15,"Quais benefícios NÃO exigem carência, apenas qualidade de segurado?","[""Aposentadoria por tempo e auxílio-doença"", ""Pensão por morte e auxílio-reclusão"", ""Salário-maternidade e aposentadoria por invalidez"", ""Todos os benefícios exigem carência""]",1,Pensão por morte e auxílio-reclusão exigem apenas qualidade de segurado no momento do evento — sem número mínimo de contribuições. Aposentadorias e auxílio-doença exigem carência específica.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,16,"Para empregado com carteira assinada, a carência conta mesmo se o empregador não pagar o INSS?","[""Não — só conta a partir do pagamento efetivo"", ""Sim — para empregado a carência conta desde o início da atividade, independente do empregador pagar"", ""Apenas se o empregado reclamar na Justiça"", ""Só conta se houver mais de 6 meses de trabalho comprovado""]",1,"Para empregados, domésticos e avulsos, a carência conta desde o início da atividade — mesmo que o empregador não pague. A obrigação de recolher é do empregador; o empregado não é prejudicado.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,17,O que é 'contribuição oportunista' e qual sua consequência?,"[""Contribuir em dois regimes ao mesmo tempo — é permitido"", ""Contribuir após já ter ocorrido o evento (ex: ficar doente e depois contribuir para pedir auxílio-doença) — não é aceito"", ""Contribuição em atraso com multa — é aceita"", ""Contribuição extra voluntária para aumentar o benefício — é permitida""]",1,Contribuição oportunista = contribuir depois que o evento já ocorreu para obter benefício. Não é aceito pelo INSS — ex: ficar doente e começar a contribuir para pedir auxílio-doença em seguida.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,18,O trabalhador avulso tem os mesmos direitos previdenciários do empregado?,"[""Não, pois não tem vínculo empregatício formal"", ""Sim, apesar de não ter vínculo formal, possui os mesmos direitos do empregado"", ""Apenas parcialmente — somente aposentadoria por tempo"", ""Depende da aprovação do sindicato mediador""]",1,"O trabalhador avulso presta serviços a várias empresas com intermediação de sindicato ou órgão gestor. Apesar de não ter vínculo formal, possui os mesmos direitos previdenciários do empregado.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,19,Quando ocorre a perda da qualidade de segurado e o que isso implica?,"[""Ocorre no 1º dia sem contribuição, cancela todos os benefícios futuros"", ""Ocorre após o período de graça; o segurado perde a proteção e pode precisar cumprir carência novamente para novos benefícios"", ""Ocorre após 6 meses sem contribuir; cancela aposentadorias já concedidas"", ""Nunca ocorre — uma vez filiado, sempre segurado""]",1,"A perda ocorre após o período de graça. Implica perda da proteção, mas NÃO cancela aposentadorias já concedidas ou cujos requisitos já foram cumpridos. Para voltar, precisa filiar-se novamente e, em alguns casos, cumprir parte da carência.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
pvQs,20,A aposentadoria híbrida permite:,"[""Aposentar por dois regimes simultaneamente"", ""Somar períodos rurais e urbanos para cumprir carência, mas aplica a idade mínima urbana (sem redução rural)"", ""Aposentar mais cedo somando períodos rurais e urbanos com redução de idade"", ""Só é válida para segurados especiais com mais de 20 anos de atividade""]",1,"A aposentadoria híbrida permite somar períodos de trabalho rural e urbano para a carência. Porém, aplica a IDADE MÍNIMA URBANA — sem a redução prevista para trabalhadores exclusivamente rurais.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
svQs,1,"I. O contribuinte é o sujeito passivo com relação direta ao fato gerador da obrigação tributária.
II. O responsável tributário também possui relação direta com o fato gerador, apenas contribuindo subsidiariamente.","[""Ambas verdadeiras"", ""I verdadeira, II falsa"", ""I falsa, II verdadeira"", ""Ambas falsas""]",1,"I é VERDADEIRA — o contribuinte tem relação direta com o fato gerador (ex: trabalhador cujo salário origina a contribuição). II é FALSA — o responsável tributário, ao contrário, NÃO tem relação direta com o fato gerador; é designado por lei para recolher tributo alheio.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
svQs,2,"I. A obrigação acessória sempre envolve o pagamento de um valor em dinheiro ao Fisco.
II. O descumprimento de uma obrigação acessória pode gerar uma obrigação principal, consistente no pagamento de multa.","[""Ambas verdadeiras"", ""I verdadeira, II falsa"", ""I falsa, II verdadeira"", ""Ambas falsas""]",2,"I é FALSA — obrigação acessória é dever instrumental (declarações, registros), não pagamento. II é VERDADEIRA — a multa pelo descumprimento da acessória é uma obrigação principal (envolve pagamento em dinheiro), conforme art. 121 do CTN.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
svQs,3,"I. O empregador que desconta contribuição previdenciária do empregado e não a repassa ao INSS comete crime de apropriação indébita previdenciária.
II. Esse crime é apurado pela Polícia Civil e julgado pela Justiça Estadual.","[""Ambas verdadeiras"", ""I verdadeira, II falsa"", ""I falsa, II verdadeira"", ""Ambas falsas""]",1,"I é VERDADEIRA — art. 168-A do Código Penal. II é FALSA — é apurado pela Polícia FEDERAL e julgado pela Justiça FEDERAL, pois o INSS é autarquia federal.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
